	item_id	book_instance	reports_policy_legislation_and_technical_documentation_instance	databases_instance	academic_scientific	news_media_sources	wiki	category	Item label	Item ID	Weighted ORES Score
10103	Q4104641	0	0	6	0	0	0	human	Mikhail Vasilyev	Q4104641	1.48
10104	Q4104672	1	0	2	0	0	0	human	Nikolay Vasilyev	Q4104672	2.14
10105	Q4104683	3	0	9	0	0	0	human	Semyon Vasilyev	Q4104683	1.26
10106	Q4104688	6	0	15	0	0	8	human	Sergey Vasilyev	Q4104688	3.37
10107	Q4104696	0	0	3	0	0	0	human	Sergey Vasilyev	Q4104696	2.9
10108	Q4104711	0	0	8	0	0	0	human	Fyodor Vasilyev	Q4104711	3.01
10109	Q4104714	5	0	10	0	0	0	human	Yury Vasilyev	Q4104714	3.03
10110	Q4104717	1	0	8	0	0	1	human	Yury Vasilyev	Q4104717	3.13
10111	Q4104739	6	0	6	0	0	0	human	Yekaterina Vasilyeva	Q4104739	3.75
10112	Q4104746	0	0	6	0	0	0	human	Marina Vasilyeva	Q4104746	2.99
10113	Q4104844	0	0	12	0	0	1	human	Ruslan Vasilyevsky	Q4104844	2.45
10114	Q4104912	0	0	5	0	0	0	human	Vasylko Rostyslavych	Q4104912	2.96
10115	Q4104913	9	0	6	0	0	0	human	Yaroslav Vasilkov	Q4104913	2.51
10116	Q4104966	0	0	8	0	0	1	human	Mykola Vasylchenko	Q4104966	2.25
10117	Q4104968	3	0	13	0	0	1	human	A. A. Vasilʹchikov	Q4104968	3.12
10118	Q4104976	0	0	19	0	0	0	human	Illarion Vasilchikov	Q4104976	3.06
10119	Q4104977	0	0	20	0	0	8	human	Dimitry Vasilchikov	Q4104977	3.24
10120	Q4104984	0	0	18	0	0	0	human	Lidiya Vasilchikova	Q4104984	2.44
10121	Q4105016	1	0	19	0	0	11	human	Vasily Vasin	Q4105016	2.47
10122	Q4105046	9	0	9	0	0	0	human	Akanni-Sunday Wasiu	Q4105046	3.3
10123	Q4105052	0	0	8	0	0	0	human		Q4105052	1.31
10124	Q4105062	0	0	9	0	0	1	human	Vladimir Vasmundt	Q4105062	2.91
10125	Q4105085	0	0	1	0	0	0	human		Q4105085	1.5
10126	Q4105112	4	0	10	0	0	0	human	Aleksandr Vaskin	Q4105112	3.0
10127	Q4105168	0	0	2	0	0	0	human	Vladimir Vasyukov	Q4105168	1.62
10128	Q4105241	0	0	10	0	0	0	human		Q4105241	1.4
10129	Q4105244	0	0	6	0	0	0	human	Irina Vatagina	Q4105244	2.98
10130	Q4105287	2	0	164	0	0	0	human	Josif Vatnikov	Q4105287	3.22
10131	Q4105298	3	0	5	0	0	0	human	Maria Valentinovna Watson	Q4105298	3.64
10132	Q4105308	0	0	4	0	0	0	human		Q4105308	2.05
10133	Q4105327	0	0	1	0	0	0	human		Q4105327	1.29
10134	Q4105347	0	0	9	0	0	0	human	Artur Vakha	Q4105347	3.21
10135	Q4105401	0	0	8	0	0	0	human	Aleksandr Vakhrameev	Q4105401	3.02
10136	Q4105464	0	0	6	0	0	0	human	Aleksandr Vakhterov	Q4105464	2.98
10137	Q4105547	0	0	15	0	0	0	human	Vladimir Vashkevich	Q4105547	2.98
10138	Q4105574	0	0	6	0	0	1	human	Valery Vashchenkov	Q4105574	3.03
10139	Q4105581	0	5	6	0	0	0	human	Kateryna Vashchuk	Q4105581	3.56
10140	Q4105615	6	0	5	0	0	0	human	Arseny Vvedensky	Q4105615	2.42
10141	Q4105617	0	0	8	0	0	0	human	Vladimir Vvedensky	Q4105617	1.32
10142	Q4105618	12	0	7	0	0	0	human	Boris Vvedensky	Q4105618	3.14
10143	Q4105653	2	0	6	0	0	0	human	Viktor Vdovenko	Q4105653	2.26
10144	Q4105654	0	0	7	0	0	0	human		Q4105654	1.18
10145	Q4105666	0	0	11	0	0	4	human	Vladislav Vdovin	Q4105666	2.97
10146	Q4105668	6	0	14	0	0	0	human	Igor Vdovin	Q4105668	2.98
10147	Q4105700	2	0	2	0	0	2	human	K. Veber	Q4105700	1.7
10148	Q4105706	7	0	9	0	0	0	human	William Alfred Weber	Q4105706	4.01
10149	Q4105731	0	0	5	0	0	0	human		Q4105731	1.27
10150	Q4105749	0	0	20	0	0	0	human		Q4105749	1.38
10151	Q4105767	1	0	8	0	0	0	human	Tatiana Vedenska	Q4105767	3.81
10152	Q4105784	0	0	6	0	0	0	human	Aldona Vederaitė	Q4105784	3.03
10153	Q4105788	0	0	9	0	0	0	human	Ivan Vedernikov	Q4105788	2.99
10154	Q4105792	13	0	16	0	0	4	human	Aleksandr Vedernikov	Q4105792	3.89
10155	Q4105929	0	0	15	0	0	2	human	Süleyman Vəzirov	Q4105929	2.98
10156	Q4105956	2	0	12	0	0	0	human	Ruben Van Wyk	Q4105956	3.21
10157	Q4105973	5	0	6	0	0	0	human	Hieronymus Weickmann	Q4105973	3.13
10158	Q4105998	0	0	3	0	0	0	human	Pavel Weinberg	Q4105998	2.95
10159	Q4106005	0	0	9	0	0	1	human	Iosif Naumovich Veinerovich	Q4106005	3.06
10160	Q4106026	0	0	4	0	0	0	human		Q4106026	1.84
10161	Q4106032	3	0	8	0	0	0	human	Vladimir Weisberg	Q4106032	3.94
10162	Q4106033	2	0	7	0	0	0	human	Boris Solomonovich Weisbrod	Q4106033	2.28
10163	Q4106042	5	0	18	1	0	1	human	Henryk Weyssenhoff	Q4106042	4.0
10164	Q4106051	0	0	9	0	0	0	human		Q4106051	2.18
10165	Q4106054	1	0	8	0	0	0	human	Leonid Veytsler	Q4106054	2.99
10166	Q4106077	0	0	6	0	0	1	human		Q4106077	1.18
10167	Q4106089	0	0	5	0	0	0	human	Abram Veksler	Q4106089	3.01
10168	Q4106112	0	0	6	0	0	0	human		Q4106112	1.41
10169	Q4106123	1	0	5	0	0	0	human	Jerónimo Velasco Gonzales	Q4106123	2.32
10170	Q4106131	1	0	4	0	0	0	human	Jan Frederik Veldkamp	Q4106131	3.55
10171	Q4106183	0	0	9	0	0	0	human	Tariyel Vəliyev	Q4106183	1.26
10172	Q4106372	0	0	9	0	0	0	human	Viktor Velikzhanin	Q4106372	2.35
10173	Q4106509	7	0	0	0	0	1	human	David Caldwell	Q4106509	3.8
10174	Q4106641	3	0	11	0	0	0	human	Boris Velikovsky	Q4106641	2.98
10175	Q4106787	0	0	8	0	0	1	human	Anton Petrovič Velikopolski	Q4106787	2.94
10176	Q4106793	0	0	7	0	0	0	human		Q4106793	1.22
10177	Q4106867	0	0	3	0	0	1	human		Q4106867	1.51
10178	Q4106893	3	0	8	0	0	0	human	Martina Veličková	Q4106893	3.57
10179	Q4106910	1	0	7	0	0	0	human	Mykola Velychkivsky	Q4106910	2.94
10180	Q4106976	0	0	7	0	0	0	human	Ilýa Weljanowiç Weljanow	Q4106976	3.0
10181	Q4107015	1	0	18	0	0	8	human	Aleksey Velyaminov	Q4107015	3.07
10182	Q4107018	0	0	9	0	0	1	human	Ivan Velyaminov	Q4107018	2.98
10183	Q4107019	4	0	7	0	0	0	human	Nikolai Velyaminov	Q4107019	3.06
10184	Q4107022	0	0	7	0	0	0	human	Lyudmila Velyaminova	Q4107022	2.99
10185	Q4107023	0	0	11	0	0	0	human	Nikolay Velyaminov	Q4107023	2.97
10186	Q4107056	0	0	4	0	0	0	human	Evgeny Venger	Q4107056	2.26
10187	Q4107102	0	0	6	0	0	0	human		Q4107102	2.31
10188	Q4107121	0	0	7	0	0	0	human	Benedykt	Q4107121	2.93
10189	Q4107127	3	0	7	0	0	0	human	Carl Wehner	Q4107127	2.97
10190	Q4107175	0	0	7	0	0	0	human	Beniamin	Q4107175	2.19
10191	Q4107182	0	0	3	0	0	0	human	Benjamin	Q4107182	1.63
10192	Q4107183	4	0	10	0	0	2	human	Beniamin	Q4107183	1.43
10193	Q4107186	0	0	4	0	0	0	human		Q4107186	2.1
