	item_id
874	Q5094611
875	Q5124786
876	Q513200
877	Q5141402
878	Q5148891
879	Q5159767
880	Q516160
881	Q5169327
882	Q518101
883	Q523380
884	Q5257
886	Q528546
887	Q5291089
888	Q529605
889	Q5309502
890	Q5354800
891	Q5362837
892	Q5419035
893	Q5440682
894	Q5440850
895	Q545205
896	Q5470818
897	Q5471623
898	Q5481
899	Q55
900	Q550374
901	Q5555325
902	Q555994
903	Q5560770
904	Q55633633
905	Q55633633
906	Q5588613
907	Q5622720
908	Q56282578
909	Q5649005
910	Q56518
911	Q5675285
912	Q5684
913	Q568712
914	Q56886322
915	Q56962
916	Q57047524
917	Q57048756
918	Q5705
919	Q57061684
920	Q57064848
921	Q574
922	Q5743
923	Q5750473
924	Q575187
925	Q577668
926	Q577867
927	Q580188
928	Q58178862
929	Q5823
930	Q58296
931	Q583038
932	Q5831
933	Q58359538
934	Q58738
935	Q5900794
936	Q594798
937	Q59586537
938	Q599613
939	Q6013402
940	Q606223
941	Q6083755
942	Q6106050
943	Q612359
944	Q6123746
945	Q6148290
946	Q6158424
947	Q615902
948	Q618399
949	Q620634
950	Q6207845
951	Q622783
952	Q62389
953	Q6250
954	Q62567
955	Q62589
956	Q62623
957	Q62651
958	Q62943
959	Q63134381
960	Q63135869
961	Q63158027
962	Q63386746
963	Q63431585
964	Q6350651
965	Q6392538
966	Q6404281
967	Q644979
968	Q6464552
969	Q6467824
970	Q6492656
971	Q6500954
972	Q65037349
973	Q65079691
974	Q6509709
975	Q6515751
976	Q65208360
977	Q657
978	Q6585262
979	Q659307
980	Q66278313
981	Q664
982	Q664980
983	Q6651681
984	Q666674
985	Q668
986	Q6693471
987	Q6705278
988	Q671362
989	Q671658
990	Q67172750
991	Q672
992	Q6741448
993	Q674419
994	Q6753441
995	Q6773257
996	Q678
997	Q6792579
998	Q6821065
999	Q6825636
1000	Q683
1001	Q684030
1002	Q685
1003	Q686
1005	Q68678
1006	Q6879061
1007	Q688654
1008	Q6889563
1009	Q6894116
1010	Q691
1011	Q691037
1012	Q69323
1013	Q6940348
1014	Q695
1015	Q696241
1016	Q697
1017	Q6980078
1018	Q698931
1019	Q6995613
1020	Q702
1021	Q704300
1022	Q704942
1023	Q7056564
1024	Q707128
1025	Q70802
1026	Q708640
1027	Q709
1028	Q70972
1029	Q710
1030	Q71084
1031	Q7109263
1032	Q711
1033	Q712
1034	Q71234
1035	Q7125272
1036	Q713397
1037	Q7141853
1038	Q715257
1039	Q717
1040	Q7183
1042	Q718374
1043	Q719187
1044	Q7206169
1045	Q7233551
1046	Q7242857
1047	Q7265832
1048	Q7289903
1049	Q7294310
1050	Q730
1051	Q7313
1052	Q7314467
1053	Q7314468
1054	Q7318
1056	Q733
1057	Q7334608
1058	Q734
1059	Q735854
1060	Q736
1061	Q736727
1062	Q7380487
1063	Q738144
1064	Q738264
1065	Q739
1066	Q7414619
1067	Q7414787
1068	Q7415075
1069	Q7449545
1070	Q7450319
1071	Q747314
1072	Q748876
1073	Q7491227
1074	Q7495566
1075	Q750
1076	Q754
1077	Q7550108
1078	Q7559152
1079	Q756617
1080	Q757
1081	Q7577890
1082	Q760
1083	Q7603765
1084	Q760893
1085	Q7624924
1086	Q762570
1087	Q763
1088	Q7659641
1089	Q766
1090	Q766543
1091	Q769
1092	Q77
1093	Q771193
1094	Q7735661
1095	Q774
1096	Q774783
1097	Q778
1098	Q77941013
1099	Q780825
1100	Q781
1101	Q783
1102	Q7835
1103	Q784
1104	Q7842409
1105	Q784851
1106	Q7851995
1107	Q786
1108	Q7877575
1109	Q7882199
1110	Q79
1111	Q790
1112	Q7902611
1113	Q7905061
1114	Q792
1115	Q7928263
1116	Q794
1117	Q796
1118	Q796684
1119	Q7972620
1120	Q797422
1121	Q7994663
1122	Q79965
1123	Q799797
1124	Q800
1125	Q801
1127	Q80211
1128	Q80389
1129	Q804
1130	Q805
1131	Q8050331
1132	Q8050368
1133	Q80702
1134	Q810
1135	Q811
1136	Q813
1137	Q815524
1138	Q816253
1139	Q817
1140	Q819
1142	Q81931
1143	Q822
1144	Q824047
1145	Q825902
1146	Q826
1147	Q826867
1148	Q83210
1150	Q83241
1151	Q83286
1152	Q833
1153	Q83311
1154	Q834896
1155	Q83572
1156	Q836
1157	Q837
1158	Q838261
1159	Q83891
1161	Q83958
1163	Q842
1164	Q842091
1165	Q842199
1166	Q842390
1167	Q842794
1168	Q843
1169	Q844262
1170	Q844510
1171	Q846
1172	Q847285
1173	Q848668
1174	Q849623
1175	Q851
1176	Q85119937
1177	Q854
1178	Q854415
1179	Q855044
1180	Q8575586
1181	Q858
1182	Q862304
1183	Q862532
1184	Q862701
1185	Q863
1187	Q865
1188	Q865
1189	Q86750256
1190	Q867778
1191	Q8680
1192	Q869
1194	Q870055
1195	Q8733
1196	Q8735
1197	Q874
1198	Q874357
1199	Q87791
1200	Q878
1202	Q878319
1203	Q881
1204	Q88329272
1205	Q884
1206	Q8842943
1207	Q889
1208	Q88901133
1209	Q8890160
1210	Q890120
1211	Q902
1212	Q903779
1213	Q904882
1214	Q9063401
1215	Q907112
1216	Q907112
1217	Q907827
1218	Q909566
1219	Q912
1221	Q916
1223	Q917
1224	Q918556
1225	Q918799
1226	Q921
1227	Q924
1228	Q926295
1229	Q928
1230	Q929
1231	Q93180
1232	Q940741
1233	Q945
1234	Q947650
1235	Q948
1236	Q950644
1237	Q950644
1238	Q953
1239	Q953432
1240	Q954
1241	Q954044
1242	Q958
1243	Q96
1244	Q96028967
1245	Q96051590
1246	Q96188206
1247	Q962
1248	Q963
1249	Q963303
1250	Q964024
1251	Q9648
1252	Q965
1253	Q965466
1254	Q967
1255	Q96807758
1256	Q970
1257	Q971
1258	Q97351967
1259	Q973527
1260	Q974
1261	Q976099
1262	Q977
1263	Q983
1264	Q98400506
1265	Q98522601
1266	Q986
1267	Q986665
1268	Q9903
1269	Q992401
1270	Q99608926
1271	Q99868017
